"151" "інфекційних хворіб" "автом. піпетки" "" "" "1998" "1998" "10" "22" "задов." "-"
"152" "інфекційних хворіб" "автом. піпетки" "" "" "1998" "1998" "10" "22" "задов." "-"
"153" "інфекційних хворіб" "автом. піпетки" "" "" "1998" "1998" "10" "22" "задов." "-"
"154" "інфекційних хворіб" "автоклав" "мелаж тир-15" "В15220" "1999" "1999" "10" "21" "задов." "-"
"155" "інфекційних хворіб" "центрифуга" "СМ-50" "03871" "2001" "2001" "10" "19" "задов." "-"
"156" "інфекційних хворіб" "насос з колбою" "АН-4" "" "2002" "2002" "10" "18" "ззадов." "-"
"157" "інфекційних хворіб" "термометр" "" "" "2001" "2001" "10" "19" "задов." "-"
"158" "інфекційних хворіб" "термометр" "" "" "2001" "2001" "10" "19" "задов." "-"
"159" "інфекційних хворіб" "ампліфікатор" "ПЕРЛІНЕЛМЕП 240" "83С8112508" "2001" "2001" "10" "19" "задов." "-"
"160" "інфекційних хворіб" "графопроектор" "Литер" "140099121683" "2000" "2000" "10" "20" "задов." "-"
"160" "інфекційних хворіб" "графопроектор" "Литер" "140099121683" "2000" "2000" "10" "20" "задов." "-"
"161" "інфекційних хворіб" "графопроектор" "2660" "405915" "2003" "2003" "10" "17" "задов." "-"
"162" "інфекційних хворіб" "холодильник" "Спайге" "" "1998" "1998" "10" "22" "задов." "-"
"163" "соціальної медицини" "холодильник" "Кодри" "163818" "1983" "1983" "10" "37" "непрацює" "-"
"164" "соціальної медицини" "холодильник" "Кодри" "163819" "1983" "1983" "10" "37" "задов." "-"
"165" "соціальної медицини" "друк. машинка" "Ятрань" "ТУ-2503" "1982" "1982" "10" "38" "задов." "-"
"166" "заг. біонеорган. та фізкол. хімії" "шафа вакуумна суш." "" "б,н" "1965" "1966" "10" "54" "незадов." "-"
"167" "заг. біонеорган. та фізкол. хімії" "вакуум. насос" "" "б,н" "1969" "1969" "10" "51" "задов." "-"
"168" "заг. біонеорган. та фізкол. хімії" "шафа витяжна" "" "б,н" "1968" "1968" "10" "52" "задов." "-"
"169" "заг. біонеорган. та фізкол. хімії" "шафа витяжна" "" "б,н" "1971" "1972" "10" "48" "задов." "-"
"170" "заг. біонеорган. та фізкол. хімії" "рефрактометр" "РПА-3" "135282" "1972" "1972" "10" "48" "незадов." "-"
"171" "заг. біонеорган. та фізкол. хімії" "РН-метр" "340" "133243" "1972" "1972" "10" "48" "незадов." "-"
"172" "заг. біонеорган. та фізкол. хімії" "ультратермостат" "" "б,н" "1972" "1974" "10" "46" "незадов." "-"
"173" "заг. біонеорган. та фізкол. хімії" "колориметр фотоел." "" "8310962" "1974" "1974" "10" "46" "незадов." "-"
"174" "заг. біонеорган. та фізкол. хімії" "спектрофотометр" "УР-20" "135896" "1973" "1974" "10" "46" "незадов." "-"
"175" "заг. біонеорган. та фізкол. хімії" "спектрофотометр" "СФ-16" "730267" "1973" "1973" "10" "47" "незадов." "-"
"176" "заг. біонеорган. та фізкол. хімії" "вага аналітична" "" "1333521" "1974" "1975" "10" "45" "незадов." "-"
"177" "заг. біонеорган. та фізкол. хімії" "насос вакуумний" "" "1352359" "1974" "1975" "10" "45" "незадов.ю" "-"
"178" "заг. біонеорган. та фізкол. хімії" "нефелометр" "НМФ-1" "1352306" "1975" "1975" "10" "45" "незадов." "-"
"179" "заг. біонеорган. та фізкол. хімії" "термостат" "МТ-1,2" "" "1977" "1977" "10" "43" "незадов." "-"
